episode,reward,avg reward,tiles,avg tiles,completed,avg completed,epsilon
164,-41.69145479779382,-51.2623459784965,6,11.49,,,0.7682981666666666
165,-54.5869587432317,-51.28574241442458,13,11.48,,,0.7667148333333333
166,-61.12398960885304,-51.259815721091755,12,11.49,,,0.7651663333333334
167,-70.5864329712889,-51.597970782279624,14,11.49,,,0.76405325
168,-98.7906759216277,-52.16809883751554,17,11.52,,,0.7624825833333333
169,-23.605518899217145,-52.23851490106661,14,11.53,,,0.76089925
170,-63.04060313457509,-52.33958500972246,11,11.52,,,0.7593159166666666
171,-40.913617656402735,-52.04989755390926,8,11.51,,,0.7584466666666667
172,-35.35952087224717,-51.93330250631707,4,11.39,,,0.7577610833333334
173,-34.51797323239659,-51.5890665437383,5,11.32,,,0.7573225
174,-38.4888265010413,-51.48254298615443,3,11.23,,,0.75681425
175,-41.23906748514756,-51.26160017273789,4,11.16,,,0.756306
176,-35.991170795414774,-51.025546887659445,5,11.09,,,0.7555491666666667
177,-65.46775982244748,-51.17726215952011,19,11.15,,,0.7539658333333333
178,-14.844331706230482,-50.73744469985315,18,11.19,,,0.7523825
179,-39.44668017907496,-50.69673373318908,7,11.14,,,0.7516525833333333
180,-91.79372719365664,-51.21268127974576,12,11.16,,,0.75016425
181,-56.631347312401644,-51.23985565754472,11,11.21,,,0.7485809166666666
182,-48.30262998547209,-50.81034485658282,5,11.14,,,0.7477623333333333
183,-43.949821552437996,-50.44079428614525,13,11.15,,,0.7461789999999999
184,-59.42925316901534,-50.75160368514817,9,11.1,,,0.7445956666666667
185,-59.95296031117321,-51.05129411974367,8,11.06,,,0.7430123333333334
186,-29.828775395401312,-50.59248769337069,14,11.07,,,0.7421430833333333
187,-58.16073638094739,-50.464500481855275,7,11.0,,,0.7414115833333333
188,-38.15528551423738,-50.363543654539725,7,10.92,,,0.73982825
189,-31.686395880481328,-50.54425674903765,12,10.89,,,0.739339
190,-91.99999999999898,-50.83034255232028,8,10.85,,,0.7377556666666667
191,-105.79999999999976,-51.22899241947902,3,10.76,,,0.73643675
192,-61.25783920296312,-51.38359945823107,11,10.76,,,0.7349341666666667
