episode,reward,avg reward,tiles,avg tiles,epsilon
195,-70.80291970802938,-60.90074148308695,7,10.51,0.5345
196,-8.928136008279353e-13,-60.37855718274565,27,10.65,0.5321250000000001
197,-31.818181818181774,-59.95461865708794,17,10.74,0.52975
198,-60.26490066225255,-60.04957535601814,11,10.7,0.527375
199,-79.38144329896872,-60.539360484978516,5,10.57,0.5250000000000001
200,-44.250871080139675,-60.273131331702245,15,10.64,0.5226250000000001
201,-76.10921501706449,-60.393504918998616,6,10.59,0.5202500000000001
202,-5.10948905109512,-59.767180454670864,25,10.76,0.5178750000000001
203,-87.42138364779804,-59.89945880727787,3,10.72,0.5155000000000001
204,-80.2371541501973,-60.40605570089252,4,10.57,0.513125
205,-60.526315789474445,-60.50254692896269,11,10.55,0.51075
206,-84.1772151898729,-60.73647594360652,4,10.48,0.508375
207,-44.62540716612404,-60.7382855708233,16,10.5,0.506
208,-74.68354430379712,-60.958093986834236,7,10.44,0.503625
209,-33.33333333333359,-60.61633706746,19,10.55,0.5012500000000001
210,-56.204379562044295,-60.851781536481106,11,10.47,0.49887500000000007
211,-31.65467625899278,-60.53196466270739,18,10.56,0.49650000000000005
212,-75.60975609756089,-60.56876397806896,6,10.55,0.49412500000000004
213,-80.32786885245868,-60.737896325130116,5,10.49,0.49175
214,-17.32283464566913,-60.254874671586805,20,10.59,0.4893750000000001
215,-82.14285714285671,-60.56262543146522,4,10.48,0.4870000000000001
216,-2.1739130434781466,-59.92566149022764,26,10.65,0.4846250000000001
217,-84.37499999999947,-60.089696187736514,4,10.61,0.48225000000000007
218,-73.06397306397345,-60.11254371058404,7,10.6,0.47987500000000005
219,-79.02097902097874,-60.170312029221904,5,10.58,0.47750000000000004
220,-82.87671232876669,-60.249775531339665,4,10.54,0.475125
221,-23.611111111111793,-60.002603967678745,21,10.59,0.4727500000000001
222,33.10580204778083,-59.09859221054612,38,10.86,0.4703750000000001
223,-24.812030075187966,-58.818092982678465,19,10.92,0.4680000000000001
224,-30.5019305019309,-58.56428875828599,17,10.98,0.46562500000000007
225,-81.94945848375409,-58.612541513058176,4,10.96,0.46325000000000005
226,-73.06397306397312,-58.878298300554086,7,10.88,0.46087500000000003
227,-40.74074074074159,-58.620153868496615,15,10.94,0.4585
228,-75.94501718213047,-58.785009445723325,6,10.89,0.4561250000000001
229,-25.795053003533976,-58.296124532720704,20,11.02,0.4537500000000001
230,-69.32515337423288,-58.786188815467,9,10.92,0.4513750000000001
231,-16.932907348243063,-58.33145773857349,25,11.08,0.44900000000000007
232,-74.19354838709693,-58.40342622574478,7,11.06,0.44662500000000005
233,-40.00000000000017,-58.19075016940675,17,11.13,0.44425000000000003
234,-80.1324503311255,-58.21861188954647,5,11.12,0.441875
235,-17.60299625468157,-57.84291771416225,21,11.21,0.4395000000000001
236,-30.041152263374858,-57.546259639726394,16,11.27,0.4371250000000001
237,-27.586206896552188,-57.00504853796022,20,11.42,0.4347500000000001
238,-84.12698412698366,-57.20603060944588,4,11.37,0.43237500000000006
239,-79.41176470588208,-57.293188549544986,6,11.36,0.43000000000000005
240,-19.58041958042028,-56.785289041645484,22,11.51,0.42762500000000003
241,-38.46153846153861,-56.30413261418035,19,11.67,0.42525
242,-55.326460481100156,-56.26238164266734,12,11.67,0.4228750000000001
243,-33.55481727574791,-56.00748612941799,19,11.75,0.4205000000000001
244,-38.11074918566793,-55.67533197252915,18,11.86,0.4181250000000001
245,5.468749999999144,-55.10141370329838,26,11.98,0.41575000000000006
246,-59.30232558139589,-55.15542986691375,13,11.99,0.41337500000000005
247,-24.460431654676587,-54.65893385983591,20,12.12,0.41100000000000003
248,-24.1877256317695,-54.237202553462474,20,12.22,0.4086250000000001
249,-42.65232974910454,-54.172200427224695,15,12.23,0.4062500000000001
250,-1.5873015873019551,-53.717668458674034,30,12.37,0.4038750000000001
251,-40.78947368421084,-53.68769337303093,17,12.36,0.4015000000000001
252,-16.030534351145707,-53.227745551985414,21,12.46,0.39912500000000006
253,-22.794117647059576,-52.794032593117656,20,12.58,0.39675000000000005
254,-53.237410071943216,-52.76804707238597,12,12.57,0.39437500000000003
255,-64.15770609319064,-52.65697395663943,9,12.6,0.3920000000000001
256,-38.144329896907315,-52.273316584467565,17,12.71,0.3896250000000001
257,-36.32958801498191,-52.43206701007193,16,12.67,0.3872500000000001
258,-45.12195121951241,-52.251384681776244,17,12.73,0.3848750000000001
259,-34.1692789968657,-51.885048274664605,20,12.86,0.38250000000000006
260,-84.22712933753888,-52.14985477930761,4,12.79,0.38012500000000005
261,-42.176870748299564,-51.94833581555771,16,12.85,0.37775000000000003
262,-32.038834951456934,-51.45883823351336,20,13.01,0.3753750000000001
263,-67.50902527075874,-51.703323504014534,8,12.94,0.3730000000000001
264,-72.54901960784328,-51.66772154992232,6,12.94,0.3706250000000001
265,-39.79933110367961,-51.24301982549812,17,13.07,0.3682500000000001
266,-27.586206896552323,-50.77899750140007,20,13.19,0.36587500000000006
267,-38.71866295264668,-50.73155515566151,21,13.25,0.36350000000000005
268,31.410256410255585,-49.93469397086928,40,13.51,0.36112500000000003
269,-34.027777777778525,-49.88211460578992,18,13.53,0.3587500000000001
270,-49.83277591973302,-49.74188814811978,14,13.56,0.3563750000000001
271,-41.74757281553467,-49.439084155995396,17,13.66,0.3540000000000001
272,-39.18918918918937,-49.141320875473504,17,13.75,0.3516250000000001
273,14.478114478114014,-48.62776896657276,33,13.9,0.34925000000000006
274,-20.754716981132734,-48.44903454793643,20,13.94,0.34687500000000004
275,-45.337620578778775,-48.271538270502724,16,14.0,0.34450000000000003
276,-50.53003533568987,-47.96914631616732,13,14.08,0.3421250000000001
277,-47.1698113207553,-47.6681171566476,13,14.16,0.3397500000000001
278,-39.39393939393994,-47.33983432836478,17,14.26,0.3373750000000001
279,-42.307692307692676,-46.99317440933643,17,14.37,0.3350000000000001
280,-30.23255813953553,-46.494835538904546,20,14.52,0.33262500000000006
281,-21.933085501859434,-46.07912989757278,20,14.63,0.33025000000000004
282,-21.42857142857213,-45.80788506523469,21,14.69,0.327875
283,-1.1406844106471254,-45.08595857600783,25,14.87,0.3255000000000001
284,-73.18007662835214,-45.33291085744287,6,14.77,0.3231250000000001
285,-85.34798534798475,-45.46225277988823,3,14.73,0.3207500000000001
286,-41.634241245136394,-45.06551108019006,14,14.82,0.3183750000000001
287,-36.241610738255645,-44.62336692698631,18,14.95,0.31600000000000006
288,-73.94136807817607,-44.59533874730296,7,14.96,0.31362500000000004
289,-85.81560283687881,-44.76697439949619,3,14.9,0.31125000000000014
290,-171.1187265917605,-46.04482833208046,3,14.77,0.3092027500000001
291,-39.71631205673825,-46.145116452647834,16,14.76,0.30682775000000007
292,-27.710843373494193,-46.08156554572342,17,14.76,0.30445275000000005
293,-75.94501718213073,-46.77038374728452,6,14.58,0.30207775000000003
294,-39.799331103679506,-46.369045954642395,17,14.7,0.29970275000000013
295,-27.335640138409072,-45.934373158946194,20,14.83,0.2973277500000001
296,22.743682310469417,-45.70693633584149,33,14.89,0.2949527500000001
297,28.205128205126975,-45.1067032356084,38,15.1,0.2925777500000001
298,-26.82926829268354,-44.77234691191272,20,15.19,0.29020275000000006
299,-14.285714285715052,-44.121389621780175,20,15.34,0.28782775000000005
300,-35.48387096774269,-44.0337196206562,17,15.36,0.28545275000000003
301,-77.12418300653596,-44.04386930055092,6,15.36,0.28307775000000013
302,-28.81355932203459,-44.2809100032603,20,15.31,0.2807027500000001
303,-29.76588628762615,-43.70435502965858,20,15.48,0.2783277500000001
304,-83.60655737704867,-43.73804906192711,3,15.47,0.2759527500000001
305,-58.06451612903296,-43.713431065322695,11,15.47,0.27357775000000006
306,-32.03883495145703,-43.19204726293853,20,15.63,0.27120275000000005
307,-33.85214007782126,-43.0843145920555,16,15.63,0.26882775000000014
308,-12.162162162162362,-42.459100770639154,25,15.81,0.2664527500000001
309,-44.07894736842174,-42.56655691099004,16,15.78,0.2640777500000001
310,-50.46439628483033,-42.509157078217896,15,15.82,0.2617027500000001
311,-21.708185053381502,-42.40969216616178,21,15.85,0.2593277500000001
312,-21.259842519685158,-41.866193030383016,19,15.98,0.25695275000000006
313,-83.19327731092389,-41.89484711496767,3,15.96,0.25457775000000005
314,-36.70886075949446,-42.08870737610593,19,15.95,0.25220275000000014
315,-42.12218649517744,-41.688500669629136,17,16.08,0.24982775000000013
316,-25.00000000000073,-41.91676153919437,20,16.02,0.2474527500000001
317,-32.384341637011474,-41.39685495556449,18,16.16,0.2450777500000001
318,-28.57142857142932,-40.95192951063905,20,16.29,0.24270275000000008
319,6.719367588932302,-40.09452604453993,26,16.5,0.24032775000000006
320,-44.44444444444507,-39.710203365696714,18,16.64,0.23795275000000005
321,-29.95901639343913,-39.77368241851999,35,16.78,0.23610975000000012
322,-71.42857142857156,-40.81902615328352,7,16.47,0.2337347500000001
323,-14.728682170543463,-40.71819267423707,21,16.49,0.2313597500000001
324,-28.32764505119525,-40.696449819729715,20,16.52,0.22898475000000007
325,-36.39575971731531,-40.24091283206533,17,16.65,0.22660975000000005
326,-41.558441558442304,-39.925857517010016,17,16.75,0.22423475000000015
327,-49.324324324325104,-40.01169335284585,14,16.74,0.22185975000000013
328,-32.33082706766961,-39.575551451701244,17,16.85,0.21948475000000012
329,-35.25179856115168,-39.67011890727742,17,16.82,0.2171097500000001
330,-18.604651162791097,-39.162913885163,20,16.93,0.21473475000000009
331,-19.831223628692708,-39.1918970479675,18,16.86,0.21235975000000007
332,-40.99378881987646,-38.859899452295295,18,16.97,0.20998475000000005
333,-43.14381270903088,-38.891337579385606,16,16.96,0.20760975000000015
334,-38.51132686084206,-38.47512634468277,18,17.09,0.20523475000000013
335,-16.36363636363625,-38.462732745772314,21,17.09,0.20285975000000012
336,-59.86622073578646,-38.76098343049643,11,17.04,0.2004847500000001
337,-35.483870967742725,-38.83996007120834,19,17.03,0.19810975000000008
338,-125.08333333333405,-39.249523563271836,20,17.19,0.19577987500000005
339,-61.08949416342493,-39.06630085784727,9,17.22,0.19340487500000014
340,-79.31034482758592,-39.663600110318924,5,17.05,0.19102987500000013
341,-43.14381270903087,-39.71042285279385,16,17.02,0.1886548750000001
342,-28.57142857142913,-39.44287253369714,17,17.07,0.1862798750000001
343,-14.373088685016034,-39.25105524778982,26,17.14,0.18390487500000008
344,-25.795053003534395,-39.12789828596849,20,17.16,0.18152987500000006
345,-36.170212765958254,-39.54428791362806,17,17.07,0.17915487500000005
346,-37.88819875776473,-39.33014664539175,19,17.13,0.17677987500000014
347,-28.315412186380666,-39.36869645070879,19,17.12,0.17440487500000013
348,-47.69230769230829,-39.603742271314175,16,17.08,0.1720298750000001
349,-29.411764705883012,-39.47133662088196,23,17.16,0.1696548750000001
350,-29.57746478873315,-39.75123825289627,19,17.05,0.16727987500000008
351,-35.27508090614957,-39.69609432511565,19,17.07,0.16490487500000006
352,-29.032258064516878,-39.82611156224937,21,17.07,0.16252987500000016
353,-32.0388349514571,-39.918558735293345,20,17.07,0.16015487500000014
354,-14.893617021277432,-39.535120804786686,23,17.18,0.15777987500000012
355,-76.51006711409383,-39.65864441499572,6,17.15,0.1554048750000001
356,-54.3973941368087,-39.82117505739473,13,17.11,0.1530298750000001
357,-23.33333333333405,-39.691212510578254,22,17.17,0.15065487500000008
358,-41.55844155844236,-39.65557741396755,17,17.17,0.14827987500000006
359,-40.99378881987657,-39.72382251219766,17,17.14,0.14590487500000016
360,31.205673758867505,-38.5694944812336,36,17.46,0.14352987500000014
361,40.983606557376596,-37.73788970817684,41,17.71,0.14115487500000012
362,-37.125748502994654,-37.788758843692214,20,17.71,0.1387798750000001
363,-34.426229508197345,-37.4579308860666,19,17.82,0.1364048750000001
364,-40.95940959409673,-37.14203478592913,15,17.91,0.13402987500000008
365,-41.58075601374645,-37.159849035029794,16,17.9,0.13165487500000006
366,-56.08108108108161,-37.44479777687509,12,17.82,0.12927987500000016
367,-5.45454545454608,-37.112156601894085,25,17.86,0.12690487500000014
368,-81.61764705882315,-38.24243563658487,4,17.5,0.12452987500000012
369,-38.7755102040824,-38.289912960847914,17,17.49,0.12215487500000011
370,-66.55518394648891,-38.457137041115466,9,17.44,0.11977987500000009
371,-27.63157894736921,-38.31597710243382,21,17.48,0.11740487500000008
372,-11.877394636016156,-38.04285915690209,22,17.53,0.11502987500000006
373,-44.22310756972175,-38.62987137738045,12,17.32,0.11265487500000015
374,-29.629629629630433,-38.718620503865424,18,17.3,0.11027987500000014
375,-27.152317880795433,-38.53676747688559,21,17.35,0.10790487500000012
376,-22.22222222222297,-38.25368934575093,20,17.42,0.1055298750000001
377,-47.36842105263226,-38.25567544306969,15,17.44,0.10315487500000009
378,-35.15358361774817,-38.213271885307776,18,17.45,0.10077987500000007
379,-26.174496644296116,-38.051939928673804,21,17.49,0.09840487500000006
380,-117.13086419753112,-38.92092298925376,16,17.45,0.09674950000000015
381,4.5296167247377905,-38.65629596698779,29,17.54,0.09437450000000014
